BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT;TRADINGSESSION
TQOD;2021-09-03;UBANK11/22;AMUNIBB2AER2;1;103.25;103.25;103.25;103.25;103.25;;103.25;;103.25;1;;102.1718;103.25;0.0;638864.28;0.0;2022-11-15;;;;;5.25;1.31;;2021-09-03;100.0;USD;;;;;USD;3
TQOD;2021-09-03;UBANK02/24;AMUNIBB2DER6;0;0.0;;;;103.6;0.4122;;3.78;;0;;;103.6;0.0;0.0;0.0;2024-02-05;;;;;5.3;1.33;;2021-09-02;100.0;USD;;;;;USD;3
TQCB;2021-09-03;МГор48-об;RU000A0JNYN1;70;197519.8;99.35;100.04;99.75;99.75;13.81;99.76;6.43;100.04;198;;99.79;99.75;0.0;649607.6;0.0;2022-06-11;276.0;6.41;;;6.0;30.08;;2021-09-03;1000.0;SUR;;;;;RUB;3
TQIR;2021-09-03;НПФ 01;RU000A0JQ5C5;0;0.0;;;;;616.71;;;;0;;;;0.0;0.0;0.0;2029-05-06;;;;;5.0;1000.55;;;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;РЖД-19 обл;RU000A0JQ7Z2;21;173383.9;101.72;102.0;102.0;102.0;11.4;101.99;7.18;101.98;170;;101.96;102.0;0.0;500613.9;0.0;2024-07-08;942.0;7.18;;;7.85;39.14;;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ДОМ.РФ14об;RU000A0JQAL8;1;1051.5;105.15;105.15;105.15;105.15;22.81;105.15;-16.74;105.15;1;;104.73;105.15;0.0;537255.5;0.0;2023-05-15;73.0;-16.74;;;7.5;37.81;2021-11-15;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ДОМ.РФ15об;RU000A0JQAM6;12;9866689.0;112.0;113.09;113.0;113.0;31.81;112.11;-99.13;113.09;8801;112.11;112.11;113.0;9866689.0;9866689.0;9866689.0;2028-09-15;12.0;-98.81;;;6.75;34.03;2021-09-15;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;РЖД-23 обл;RU000A0JQRD9;30;480710.4;101.56;101.85;101.6;101.64;9.25;101.85;7.43;101.84;472;;101.83;101.64;0.0;504081.1;0.0;2025-01-16;1097.0;7.35;;;7.85;39.14;;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ДОМ.РФ16об;RU000A0JQXG0;26;1128585.45;100.32;100.49;100.49;100.49;1.81;100.49;-10.87;100.33;11231;100.49;100.49;100.49;1128585.45;1128585.45;1128585.45;2021-09-15;12.0;-10.87;;;8.25;2.08;;2021-09-03;100.0;SUR;;;-8.6166;;RUB;3
TQCB;2021-09-03;ГлДорога 3;RU000A0JR4U9;0;0.0;;;;95.84;32.66;;31.88;;0;;;95.84;0.0;0.0;0.0;2028-10-30;;;;;4.0;39.89;2021-11-08;2021-08-26;1000.0;SUR;;;;;RUB;3
